chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfccs,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,zero_crossing_rate,harmonic_centroid,harmonic_tonnetz,harmonic_rms,harmonic_spectral_flatness,harmonic_spectral_contrast,harmonic_spectral_rolloff,harmonic_zero_crossing_rate,class
0.41961432,0.6016224,0.27788714,0.25946516,-8.450075,0.027619421,1508.5394730387832,1705.8100332003944,15.886446461009829,0.008907477,3083.5546875,0.3398922998300795,0.06622596153846154,1269.5954200178996,-0.0022874638512848703,0.017974079,0.0027811986,17.20177812267536,2510.440204326923,0.05703876201923077,assistance off
0.5497485,0.6563222,0.2777186,0.13263345,-7.855712,0.01960451,1350.4038706396318,1590.2862982663523,14.774358104354864,0.0055463267,2790.5374849759614,0.2701686062803324,0.06305588942307692,1241.9649180003855,-0.005146690171055359,0.012429708,0.003001028,16.02334217919637,2548.2061298076924,0.05651292067307692,assistance off
0.5086404,0.64933974,0.2823147,0.14891268,-8.978231,0.021120833,2127.877507423767,2215.788438106993,14.769560318760158,0.05565619,4400.358997691761,0.30396456178360726,0.11515669389204546,1503.9280285850123,0.0067195313110355835,0.01221016,0.00785305,16.06344255892847,2984.5508922230115,0.06277743252840909,assistance off
0.37488174,0.5332519,0.27273872,0.37326035,-6.2482543,0.035922002,1611.8168405670297,1751.8381012676168,16.254199422675722,0.016925063,3135.4000150240386,0.43636657043057514,0.08041616586538461,1241.3313383081036,0.0006640720347049609,0.022934923,0.0021882332,17.919040006332402,2355.2355018028848,0.05567908653846154,assistance off
0.34471357,0.5462063,0.27693793,0.39054328,-7.2647324,0.035717018,1489.8306322549465,1719.9193052023293,16.540168493250643,0.0075971745,2988.5009765625,0.432778593674755,0.06694684709821429,1198.3411951484227,-0.0027908325323565512,0.023641031,0.001860745,18.20619275042356,2284.6343994140625,0.052882603236607144,assistance off
0.37188995,0.57993233,0.2777624,0.34188336,-6.5790033,0.033801068,1560.7442617824129,1825.2689164404492,16.266766164417135,0.008927226,3124.8110563858695,0.41290662383543825,0.06708559782608696,1267.0796250042695,-0.0029334715131949774,0.02257161,0.0025313348,17.88000664248288,2430.2872367527175,0.05415675951086957,assistance off
0.39210102,0.43327662,0.24293618,1.4511518,-13.043401,0.057793073,1488.5169514009394,1655.30480832679,18.637943788998992,0.03553617,2789.1295447716348,0.5760717694061661,0.0698993389423077,1031.5505928538068,-0.01107482386590488,0.034002382,0.01740838,20.86150915935934,1852.3523888221155,0.04306640625,assistance off
0.38967672,0.57133067,0.27740607,0.36674196,-6.289085,0.035471387,1552.5017838027152,1782.5431672532613,16.32162887121919,0.010920335,3084.3665951588114,0.4311606495049504,0.07221759733606557,1227.3004769762815,-0.00042639717418038953,0.024054648,0.0025532402,17.903111091143014,2309.3477843237706,0.05796939036885246,assistance off
0.30249515,0.37293974,0.24543934,2.227921,-11.281276,0.07617022,1261.2759672157083,1564.3356169275678,19.57848409276232,0.028952839,2503.2915296052633,0.7178421266687519,0.05081722861842105,861.6210122249648,0.004606775190244746,0.045365147,0.0032939033,21.872579616024137,1463.0111533717106,0.03071546052631579,assistance off
0.43577468,0.54902416,0.27317366,0.37737104,-7.160814,0.03458145,1472.4152901848283,1736.8488817490102,16.209003090729365,0.006964625,3033.6822509765625,0.4223177255288962,0.06134905133928571,1203.3564313099105,-0.00016834357210592987,0.022218969,0.0025345313,17.99906627127218,2329.2388916015625,0.05058942522321429,assistance off
